Date,Close,Open,High,Low,Volume,Change_Pct
2023-01-02,10.0558,10.0,10.1061,9.95,552451.0,
2023-01-03,10.153,10.0558,10.2038,10.0055,1013575.0,0.97
2023-01-04,10.0406,10.153,10.2038,9.9904,714947.0,-1.11
2023-01-05,10.1116,10.0406,10.1622,9.9904,1643716.0,0.71
2023-01-06,9.9445,10.1116,10.1622,9.8948,1384834.0,-1.65
2023-01-09,9.7583,9.9445,9.9942,9.7095,696493.0,-1.87
2023-01-10,9.6485,9.7583,9.8071,9.6003,1559806.0,-1.13
2023-01-11,9.6879,9.6485,9.7363,9.6003,1677016.0,0.41
2023-01-12,9.5712,9.6879,9.7363,9.5233,1862906.0,-1.2
2023-01-13,9.6483,9.5712,9.6965,9.5233,1379796.0,0.81
2023-01-16,9.5404,9.6483,9.6965,9.4927,1735779.0,-1.12
2023-01-17,9.4558,9.5404,9.5881,9.4085,513628.0,-0.89
2023-01-18,9.5537,9.4558,9.6015,9.4085,834829.0,1.04
2023-01-19,9.6294,9.5537,9.6775,9.5059,1213557.0,0.79
2023-01-20,9.5438,9.6294,9.6775,9.4961,951545.0,-0.89
2023-01-23,9.7183,9.5438,9.7669,9.4961,1205889.0,1.83
2023-01-24,9.5637,9.7183,9.7669,9.5159,1296765.0,-1.59
2023-01-25,9.4094,9.5637,9.6115,9.3624,1221327.0,-1.61
2023-01-26,9.4484,9.4094,9.4956,9.3624,591122.0,0.41
2023-01-27,9.5352,9.4484,9.5829,9.4012,1624551.0,0.92
2023-01-30,9.3921,9.5352,9.5829,9.3451,1293844.0,-1.5
2023-01-31,9.2339,9.3921,9.4391,9.1877,1114839.0,-1.68
2023-02-01,9.3556,9.2339,9.4024,9.1877,1797129.0,1.32
2023-02-02,9.4998,9.3556,9.5473,9.3088,1258403.0,1.54
2023-02-03,9.5292,9.4998,9.5768,9.4523,1977594.0,0.31
2023-02-06,9.3651,9.5292,9.5768,9.3183,1886769.0,-1.72
2023-02-07,9.2632,9.3651,9.4119,9.2169,1106890.0,-1.09
2023-02-08,9.443,9.2632,9.4902,9.2169,988197.0,1.94
2023-02-09,9.5814,9.443,9.6293,9.3958,1297182.0,1.47
2023-02-10,9.4963,9.5814,9.6293,9.4488,1833126.0,-0.89
